ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Falta_Ativa_PLIM_pu
8855,0.6297643791059946,-26.88226875794985,0.0,0.0,0.0,0.0,0.0,-0.004725713732259973,0.0007263217924035886
41081,0.6653766958721633,-38.487259904857055,0.0,0.0,0.0,0.0,0.0,-0.017173419890213412,-0.0014307492824089784
7744,0.6497348513649485,-16.970372173551556,0.0,0.0,0.161,0.009000000000000001,0.0,0.0005436512909894503,0.04820811379075232
10481,0.6783242813493531,-49.49089466834328,0.0,0.0,0.0,0.0,0.0,-0.35782747117241837,0.06447591836108797
40703,0.612211717242173,-61.44811942491217,0.0,0.0,0.121,0.037000000000000005,0.0,-0.01761305327006374,0.04590653648371191
41508,0.5880350456744179,-60.18664953607976,0.0,0.0,0.0,0.0,0.0,-0.007696273745288852,0.004691607902508074
41374,0.6479616205599179,-40.26407668816715,0.0,0.0,0.0,0.0,0.0,-0.023939929745619103,0.035423351517972934
7747,0.6157679749691092,-37.845632865582125,0.0,0.0,0.0,0.0,0.0,0.03390348114058519,-3.528837205665514e-5
1750,0.6101366855534269,-48.189867112339634,0.0,0.0,0.086,0.035,0.0,-0.05774540922402923,0.12801644941554402
42200,0.6387207481686749,-22.454045934640273,0.0,0.0,0.0,0.0,0.0,0.012142156784351191,-0.03136611775532054
10215,0.6770666533050611,-37.56673092691788,0.0,0.0,0.0,0.0,0.0,-0.4795992753498466,-0.2388451046504147
1008,0.6701667426660773,-44.06840914389387,0.0,0.0,-0.023,-0.0069,0.0,-0.01862949235887268,0.03873608060421106
2203,0.5980993426897078,-57.79565108602147,0.0,0.0,0.06,0.013999999999999999,0.0,-0.007231646904953265,0.022891227185541346
45865,0.5985333197766505,-65.71772643889034,0.0,0.0,0.0,0.0,0.0,-0.0004915005347868518,0.00041841008176346473
13198,0.5779263765124406,-28.672778163532342,0.0,0.0,0.0,0.0,0.0,0.038639773190352104,-0.02382535855834316
46325,0.7104418552937867,-40.70012619279727,0.0,0.0,0.132,0.055999999999999994,0.0,-0.01992180116321665,0.025012022774964372
5670,0.618532821809445,-18.430125206291862,0.0,0.0,0.0,0.0,0.0,-0.005503774247592113,-0.011776310622765306
5300,0.6612526553436253,-51.08176106717192,0.0,0.0,0.0,0.0,0.0,-0.42481860412712413,-0.12377812187597534
41911,0.6782287306366781,-13.010378535605179,0.0,0.0,0.0,0.0,0.0,-0.041531284728366875,-0.16275620728633813
6991,0.6221771602857112,-82.77185613057465,0.0,0.0,0.111,0.033,0.0,-0.01932079404156591,0.03330770282844921
8664,0.5976274035410357,-22.97560793523149,0.0,0.0,0.0,0.0,0.0,0.008653227629199182,-0.027716994249520267
47159,0.905735516967557,-42.44048518025147,0.0,0.0,0.0,0.0,0.0,-0.00898763709613426,-0.005694554985239469
115,0.6618567764974768,-42.08789856458198,0.0,0.0,0.0,0.0,0.0,-0.8974292698341014,-0.549238725540017
1722,0.5071160065716934,-63.50637958744859,0.0,0.0,0.133,0.055999999999999994,0.0,-0.018935094976819097,0.05277473852767883
40017,0.6885130657047226,-65.24760863082902,0.0,0.0,0.0,0.0,0.0,-0.023536358588897948,0.02271888867957922
7606,0.617047716127647,-67.47702192269108,0.0,0.0,0.051,0.023,0.0,-0.010590289935118116,0.015644722937157372
2722,0.6488910931512271,-38.62186112807986,0.0,0.0,0.31799999999999995,-0.062,0.0,0.007275304538818691,0.08304143351041127
2523,0.6303785541816544,-31.264959088671713,0.0,0.0,0.0,0.0,0.0,-0.0610805216223561,0.015955075245746506
3875,0.6471902417816565,-17.845050182760513,0.0,0.0,0.068,0.025,0.0,0.019659136165993196,0.009699871602080672
